Name,Observed Wavelength of H-alpha,RA J2000.0,Dec J2000.0
IC0783,6577.993522865621,12 21 38.8,+15 44 42
PGC039967,6557.315888880899,12 21 39.6,+04 23 34
AGC229177,6575.884104808048,12 21 40.2,+01 50 25
NGC4299,6576.997984154528,12 21 40.6,+11 30 10
NGC4300,6599.502762499004,12 21 41.5,+05 23 05
PGC039971,6592.497562257343,12 21 41.6,+15 04 32
NGC4302,6591.495979983919,12 21 42.4,+14 35 54
PGC039985,6585.852742323356,12 21 44.6,+09 14 12
PGC1292607,6576.829505947339,12 21 47.1,+05 59 20
PGC039986,6584.743483671792,12 21 48.0,+12 49 36
PGC039996,6582.860547220057,12 21 50.1,+09 44 21
PGC039994,6585.283194065102,12 21 50.4,+08 32 30
UGC07425,6566.184114976722,12 21 53.7,+15 38 46
NGC4303,6586.683931452649,12 21 54.8,+04 28 26
UGC07423,6576.456153241501,12 21 55.5,+06 27 03
UGC07421,6580.727503195511,12 21 55.6,+11 58 01
PGC3294456,6575.090653827619,12 21 55.8,-01 35 36
SDSSJ122155.85+174052.5,6567.817723980316,12 21 55.9,+17 40 53
UGC07424,6571.69982046638,12 21 57.5,+08 40 30
PGC040015,6580.947826545347,12 21 57.8,+02 20 42
UGC07422,6597.781615179667,12 22 01.3,+05 06 01
NGC4305,6590.708643241827,12 22 03.6,+12 44 27
NGC4306,6595.219875204642,12 22 04.1,+12 47 15
SDSSJ122204.66+074422.0,6571.517865708633,12 22 04.6,+07 44 22
NGC4307,6589.152078290389,12 22 05.7,+09 02 37
PGC040037,6569.007031939426,12 22 06.5,+06 46 57
GR34,6587.285071177313,12 22 07.7,+15 47 57
PGC040046,6563.390514784796,12 22 08.6,+09 53 40
IC3215,6583.563885038522,12 22 10.2,+26 03 08
PGC040050,6582.3507984479365,12 22 11.0,+04 57 07
NGC4309,6562.299118086503,12 22 12.4,+07 08 39
PGC040059,6579.114972097188,12 22 14.7,+07 10 02
PGC040058,6576.603733633675,12 22 14.8,+14 08 32
IC3218,6575.034451435962,12 22 19.5,+06 55 40
UGC07436,6603.844151262182,12 22 19.5,+14 45 39
IC0783A,6611.1649586228505,12 22 19.6,+15 44 01
PGC040074,6584.835754769359,12 22 21.6,+10 36 07
PGC040083,6583.508235781091,12 22 24.3,+15 28 16
NGC4303A,6545.9710383548845,12 22 27.2,+04 33 59
PGC040094,6590.089347658305,12 22 31.3,+07 07 08
NGC4312,6621.551316294803,12 22 31.3,+15 32 16
PGC040096,6597.655638776032,12 22 31.7,+11 48 09
AGC227956,6571.231109280694,12 22 31.7,+04 40 11
IC3227,6615.066024936605,12 22 35.7,+24 05 08
PGC040100,6577.392287936075,12 22 35.9,+12 09 28
PGC040107,6574.468509186444,12 22 37.8,+08 17 47
VCC565,6545.649776803765,12 22 38.4,+06 00 52
NGC4313,6576.902956079029,12 22 38.5,+11 48 04
IC3225,6568.764654272721,12 22 39.0,+06 40 38
PGC040115,6589.818293663376,12 22 41.1,+07 57 01
NGC4316,6596.146750510888,12 22 42.2,+09 19 57
NGC4318,6568.014186548486,12 22 43.3,+08 11 54
SDSSJ122243.57+052723.0,6579.683008218846,12 22 43.6,+05 27 23
KK140,6589.84826331329,12 22 48.3,+07 54 49
PGC040141,6579.23005678879,12 22 50.8,+13 35 34
IC3229,6583.847478344446,12 22 52.8,+06 40 48
NGC4321,6599.163653273673,12 22 54.9,+15 49 20
PGC040156,6583.8130944662025,12 22 56.2,+07 43 59
PGC040157,6581.070074574458,12 22 56.6,+02 44 49
PGC1337184,6586.517008384462,12 22 59.7,+08 01 51
NGC4323,6588.0700849802815,12 23 01.7,+15 54 20
PGC040175,6575.556340701716,12 23 03.3,+05 47 09
VCC615,6585.260048338247,12 23 04.7,+12 00 56
PGC040177,6589.215600550337,12 23 04.8,+08 20 00
NGC4324,6595.29132652472,12 23 06.2,+05 15 02
PGC040186,6607.15952058065,12 23 07.4,+13 44 40
IC3239,6588.134555668513,12 23 09.6,+11 43 34
PGC1165632,6567.473458615443,12 23 09.9,+00 25 37
PGC040200,6585.198518754761,12 23 16.1,+07 41 14
NGC4330,6588.356347443918,12 23 17.1,+11 22 04
PGC1286175,6555.414685550924,12 23 18.4,+05 36 26
PGC040210,6576.955876021148,12 23 20.0,+07 04 05
NGC4328,6578.831435281178,12 23 20.0,+15 49 14
PGC040214,6600.70771213804,12 23 21.2,+15 52 06
PGC1206706,6545.715508868318,12 23 23.4,+01 48 54
PGC040229,6577.143660434484,12 23 28.6,+05 48 59
NGC4336,6604.022345142,12 23 29.8,+19 25 37
RFGC2272,6574.251060893176,12 23 30.0,+02 00 29
PGC040235,6588.052577928176,12 23 31.8,+17 47 41
AGC229201,6559.868763936328,12 23 31.8,+02 59 03
NGC4339,6555.843479078256,12 23 34.9,+06 04 54
NGC4340,6591.046821808396,12 23 35.3,+16 43 21
NGC4344,6592.1857944713,12 23 37.5,+17 32 27
NGC4343,6584.719777258942,12 23 38.7,+06 57 15
NGC4342,6584.540270485247,12 23 39.0,+07 03 14
PGC040262,6592.770454073628,12 23 42.9,+18 39 43
IC3258,6612.986149148048,12 23 44.4,+12 28 39
IC3259,6582.43848205119,12 23 48.5,+07 11 12
SDSSJ122349.62+182720.7,6580.576094792404,12 23 49.6,+18 27 21
PGC040274,6589.712908564921,12 23 49.9,+06 03 35
PGC040279,6574.370746253312,12 23 52.6,+13 52 57
PGC040286,6616.0278701238185,12 23 53.0,+12 46 22
NGC4341,6572.51404473246,12 23 53.5,+07 06 26
NGC4348,6544.606595474024,12 23 54.0,-03 26 34
PGC040285,6531.3910213634845,12 23 54.2,+03 05 06
PGC040298,6604.288567024454,12 23 57.7,+12 53 14
PGC040300,6575.345537739329,12 23 57.8,+11 53 32
NGC4350,6580.855688644403,12 23 57.8,+16 41 36
SDSSJ122358.19+072701.7,6564.268691974668,12 23 58.2,+07 27 02
NGC4353,6551.01281643636,12 24 00.3,+07 47 07
NGC4351,6578.8254221250845,12 24 01.5,+12 12 17
EVCC0504,6589.045105575927,12 24 01.9,+16 50 21
PGC040310,6573.564559047704,12 24 03.2,+05 10 50
PGC040312,6576.7243127192605,12 24 04.0,+17 32 58
NGC4352,6574.932677849677,12 24 05.0,+11 13 05
SDSSJ122405.09+081737.7,6594.8536995222385,12 24 05.1,+08 17 38
PGC040315,6573.4203841110975,12 24 05.3,+10 04 04
IC3267,6560.368690229203,12 24 05.5,+07 02 29
PGC3293423,6575.188894188366,12 24 06.3,+02 05 35
IC3268,6580.6752483055425,12 24 07.4,+06 36 29
AGC749235,6587.644423303561,12 24 09.9,+26 13 52
PGC040335,6582.536684100891,12 24 12.5,+11 31 46
DDO121,6586.84398273203,12 24 12.5,+00 34 00
PGC040338,6558.949254769922,12 24 13.8,+07 10 30
SDSSJ122414.10+184120.7,6577.212824159511,12 24 14.1,+18 41 21
Mrk51,6580.759869667736,12 24 14.5,+04 13 33
NGC4356,6586.100515767903,12 24 14.6,+08 32 11
UGC07485,6586.184790458923,12 24 22.2,+21 09 36
NGC4365,6590.790532735254,12 24 28.1,+07 19 00
KDG118,6560.970913210484,12 24 30.8,+00 04 16
SDSSJ122431.27+062916.5,6574.973752165447,12 24 31.3,+06 29 16
PGC040388,6563.497560260904,12 24 32.0,+08 38 15
PGC1293380,6595.253815531644,12 24 35.3,+06 01 59
PGC040408,6545.695986659326,12 24 39.4,+03 59 44
PGC040409,6568.637057125415,12 24 39.5,+08 30 14
PGC040411,6570.294700985913,12 24 40.0,+03 18 11
PGC040414,6547.610118667856,12 24 41.3,+03 43 17
VLSB-D,6609.188048161983,12 24 42.1,+13 31 02
NGC4366,6566.160718704959,12 24 47.0,+07 21 11
PGC040422,6592.14994204771,12 24 47.6,+14 34 35
PGC040424,6590.904536673229,12 24 47.8,+08 59 29
IC3292,6585.4022257372535,12 24 48.4,+18 11 42
PGC040428,6559.131066700314,12 24 49.6,+06 45 34
PGC040434,6603.429046874903,12 24 51.6,+13 06 40
PGC040435,6595.186737695662,12 24 53.1,+09 29 37
PGC040437,6586.345388581527,12 24 54.1,+07 33 25
NGC4370,6582.422986206753,12 24 54.9,+07 26 41
SDSSJ122454.85+164839.1,6606.984854954026,12 24 54.9,+16 48 39
NGC4371,6586.695987833353,12 24 55.4,+11 42 15
PGC040444,6585.185648747697,12 24 56.1,+11 49 56
PGC040453,6596.768876997939,12 25 03.0,+07 30 14
PGC040457,6580.297398865854,12 25 03.5,+13 14 41
NGC4374,6594.736578525411,12 25 03.7,+12 53 14
IC3298,6620.0187990927725,12 25 03.7,+17 00 57
PGC1374571,6590.817003815449,12 25 04.1,+10 06 04
PGC040462,6603.155332909458,12 25 04.3,+15 42 41
PGC040461,6552.807448696094,12 25 05.6,+05 19 45
PGC040468,6564.037767416708,12 25 08.2,+06 53 26
PGC040469,6574.443577507015,12 25 08.7,+04 24 52
NGC4377,6598.107170515111,12 25 12.3,+14 45 44
PGC040479,6581.119915205316,12 25 13.1,+13 01 32
IC3305,6587.475020438883,12 25 14.5,+11 50 58
NGC4379,6599.274413807684,12 25 14.7,+15 36 27
IC3303,6566.662608197189,12 25 15.2,+12 42 53
PGC040493,6578.38056755732,12 25 16.8,+11 36 19
PGC040491,6601.706711389188,12 25 17.5,+14 10 21
NGC4376,6575.19223437984,12 25 18.1,+05 44 28
NGC4378,6574.657902884885,12 25 18.1,+04 55 30
IC3308,6590.3467429465345,12 25 18.2,+26 42 55
PGC3294393,6530.833849403268,12 25 19.6,-01 35 56
PGC040505,6580.026667542984,12 25 21.6,+13 04 15
UGC07504,6595.148636771019,12 25 21.6,+16 25 47
NGC4380,6589.356112584058,12 25 22.1,+10 01 00
PGC040511,6577.427791938899,12 25 23.2,+14 48 12
NGC4382,6606.03559254229,12 25 24.0,+18 11 25
PGC040512,6571.931855155674,12 25 24.1,+18 08 23
NGC4383,6590.533936433691,12 25 25.5,+16 28 12
PGC040519,6583.603607031955,12 25 28.5,+12 38 12
PGC040521,6598.126035528318,12 25 29.1,+13 29 54
PGC169259,6583.079162974121,12 25 31.5,+11 09 30
IC3311,6617.838847830087,12 25 33.1,+12 15 38
PGC040534,6587.661283536673,12 25 33.5,+13 13 38
PGC040531,6580.436913932165,12 25 33.5,+04 48 28
PGC040540,6593.571505169999,12 25 34.8,+15 11 40
PGC1282537,6598.6696021235475,12 25 35.3,+05 22 52
PGC040547,6579.078120347448,12 25 36.0,+15 50 51
IC3313,6604.925081160042,12 25 36.4,+15 49 48
PGC040548,6597.121133409185,12 25 37.2,+13 08 37
PGC040553,6578.60192578387,12 25 38.7,+14 09 03
PGC040554,6565.765926028236,12 25 38.8,+07 43 56
PGC040556,6595.150670265038,12 25 38.9,+12 18 50
PGC040560,6585.634454001527,12 25 39.4,+10 35 02
UGC07512 = LV,6541.976703995702,12 25 41.2,+02 09 33
PGC169266,6593.172291912461,12 25 41.3,+13 02 51
NGC4387,6581.99814878161,12 25 41.7,+12 48 38
SDSSJ122542.56+264834.5,6608.2776815888055,12 25 42.5,+26 48 35
RFGC2284,6587.512072350176,12 25 42.5,+07 13 02
NGC4385,6574.104821512159,12 25 42.8,+00 34 22
PGC040574,6583.775648327908,12 25 44.6,+13 01 20
NGC4388,6586.121312378873,12 25 46.8,+12 39 44
PGC040588,6609.497032672842,12 25 47.5,+14 57 07
PGC040598,6602.417631015435,12 25 50.5,+13 11 52
NGC4390,6598.365395162099,12 25 50.7,+10 27 33
EVCC0580,6581.272395417575,12 25 51.2,+07 47 15
NGC4393,6586.536189097438,12 25 51.2,+27 33 39
PGC040604,6586.962066367627,12 25 52.5,+05 48 34
IC3322,6578.36909107282,12 25 54.1,+07 33 17
NGC4394,6606.7472618840575,12 25 55.6,+18 12 51
PGC040611,6588.471409575131,12 25 55.7,+12 46 11
PGC040615,6568.04985616437,12 25 56.1,+07 14 05
IC3328,6588.151063000486,12 25 57.9,+10 03 14
RFGC2285,6567.967931445109,12 25 58.5,+03 25 47
PGC040617,6594.530348606731,12 25 58.9,+15 16 38
NGC4396,6579.373227344075,12 25 59.1,+15 40 15
PGC040630,6580.830949176687,12 26 00.9,+07 27 19
PGC040631,6590.342385302799,12 26 01.3,+08 11 37
IC3331,6582.149391598489,12 26 05.3,+11 48 44
PGC040636,6588.126513349699,12 26 05.6,+12 33 35
PGC040641,6590.600013077601,12 26 06.7,+12 51 40
NGC4405,6589.514811899333,12 26 07.1,+16 10 51
NGC4402,6573.92855725207,12 26 07.6,+13 06 47
NGC4406,6584.193098969193,12 26 11.8,+12 56 45
UGC07531,6557.889573589474,12 26 11.9,-01 18 16
SDSSJ122613.89+035013.6,6574.856113467466,12 26 13.9,+03 50 14
PGC040659,6580.895065228576,12 26 15.2,+12 57 50
PGC1204412,6580.58634931314,12 26 17.8,+01 44 30
PGC040670,6588.048469250145,12 26 18.5,+08 20 59
PGC135801,6557.328047294738,12 26 19.3,+01 01 11
AGC226080,6576.774401541894,12 26 19.4,+12 53 30
PGC040672,6596.085532397891,12 26 20.0,+12 30 37
PGC040674,6572.84503598497,12 26 21.6,+06 40 11
PGC040683,6566.237179730431,12 26 22.7,-01 15 15
SDSSJ122624.54+041900.8,6556.104779773518,12 26 24.5,+04 19 01
PGC040680,6567.804862650559,12 26 24.9,+10 34 55
PGC040687,6597.234574866932,12 26 26.1,+16 31 23
NGC4411,6573.718719741118,12 26 29.6,+08 52 17
NGC4413,6583.392994193163,12 26 32.2,+12 36 38
IC3344,6603.0622364521505,12 26 32.4,+13 34 43
PGC040707,6587.5472407798625,12 26 33.2,+12 44 35
PGC040712,6592.1128551197935,12 26 35.1,+09 59 00
NGC4412,6585.061062841404,12 26 36.1,+03 57 53
SDSSJ122638.81+164303.8,6573.696508683545,12 26 38.8,+16 43 04
PGC040723,6588.5324765161595,12 26 39.8,+12 30 49
NGC4415,6573.607853468346,12 26 40.5,+08 26 08
SDSSJ122641.71+180813.4,6597.749982815194,12 26 41.7,+18 08 14
PGC040732,6587.416556650284,12 26 44.0,+10 54 17
PGC040737,6555.895007577251,12 26 44.3,+08 49 26
PGC040739,6596.377274872671,12 26 44.4,+11 22 47
NGC4416,6579.076025067206,12 26 46.7,+07 55 08
IC3349,6582.744597959542,12 26 47.1,+12 27 14
NGC4411B,6615.232001618491,12 26 47.2,+08 53 05
PGC1327818,6590.065875869504,12 26 47.9,+07 40 17
KDG130,6612.676245748631,12 26 50.5,+11 33 32
NGC4417,6583.172867934157,12 26 50.6,+09 35 03
IC3355,6593.283457440563,12 26 51.2,+13 10 29
IC3358,6584.360668664657,12 26 54.4,+11 39 50
EVCC0629,6614.751172403275,12 26 54.4,+18 23 37
PGC040759,6558.559776610052,12 26 54.5,+10 39 57
NGC4355,6539.60165182426,12 26 54.6,-00 52 39
PGC040767,6585.0886547998625,12 26 54.8,+13 33 58
PGC040766,6584.608535657038,12 26 55.7,+09 52 56
NGC4419,6614.086215126479,12 26 56.4,+15 02 51
PGC040769,6588.103861242057,12 26 56.4,+12 57 41
NGC4409,6573.071565300611,12 26 58.5,+02 29 40
PGC040779,6573.8462580740415,12 26 59.2,+14 46 57
NGC4421,6588.873894931804,12 27 02.5,+15 27 41
IC3363,6579.82707262013,12 27 03.1,+12 33 38
PGC040787,6599.747248116836,12 27 03.8,+12 52 00
PGC040790,6556.830168756389,12 27 04.5,-00 54 21
NGC4423,6585.56303652574,12 27 09.0,+05 52 50
PGC040803,6586.520612241418,12 27 09.9,+08 23 24
PGC040806,6589.382024278223,12 27 11.2,+12 02 17
UGC07557,6598.018392219645,12 27 11.3,+07 15 47
IC3365,6575.716473255976,12 27 11.4,+15 53 50
NGC4424,6597.257563166096,12 27 11.7,+09 25 14
PGC040810,6581.9974550882835,12 27 11.9,+08 50 24
PGC040814,6582.121294026997,12 27 12.8,+17 49 15
PGC213995,6561.520489663849,12 27 12.8,+07 38 21
NGC4425,6605.370024440356,12 27 13.3,+12 44 05
AGC227991,6566.269217180006,12 27 15.6,+04 07 39
PGC040825,6571.693413518964,12 27 15.8,+04 15 49
IC3369,6596.190106398451,12 27 16.9,+16 01 28
PGC040831,6574.200129583265,12 27 17.6,+07 40 12
PGC040834,6594.9735623309025,12 27 18.7,+08 12 46
PGC040835,6594.855793084094,12 27 20.4,+16 25 42
PGC040838,6585.759845750635,12 27 21.1,+13 06 41
PGC040840,6590.890751064308,12 27 22.2,+12 04 07
IC3371,6584.3685895260405,12 27 22.2,+10 52 00
PGC040841,6578.361713785438,12 27 23.5,+12 19 54
PGC040844,6589.855826061551,12 27 24.6,+13 42 58
EVCC0658,6589.018873805767,12 27 25.0,+19 15 49
PGC040848,6574.822802353967,12 27 25.5,+13 45 03
NGC4430,6553.259992238908,12 27 26.3,+06 15 47
NGC4429,6585.193378662697,12 27 26.5,+11 06 28
PGC1279440,6562.564093516441,12 27 27.0,+05 11 17
NGC4431,6585.438462924075,12 27 27.4,+12 17 25
UGC07567,6581.519257381278,12 27 29.1,+07 38 37
PGC040867,6568.839395344226,12 27 30.1,+09 20 25
PGC040869,6581.061979814689,12 27 31.8,+09 35 45
PGC040872,6586.7818590837705,12 27 32.0,+11 36 55
IC3374,6578.024368228283,12 27 33.4,+10 00 12
PGC040881,6571.664641433551,12 27 34.8,+15 44 22
NGC4434,6586.555665579926,12 27 36.7,+08 09 16
PGC040893,6603.144356605476,12 27 37.6,+14 27 20
PGC040889,6574.336317326655,12 27 38.8,+18 26 04
NGC4435,6603.051978837337,12 27 40.5,+13 04 44
PGC040899,6569.2870275821,12 27 40.7,+15 56 42
NGC4436,6573.732343783179,12 27 41.3,+12 18 57
PGC040906,6590.907628677791,12 27 42.1,+12 05 23
PGC040912,6562.901454105543,12 27 44.3,+11 12 53
PGC040913,6579.58391200501,12 27 44.5,+12 59 03
NGC4438,6593.100461702917,12 27 45.5,+13 00 33
PGC040917,6582.650118460297,12 27 46.3,+11 26 07
PGC135803 = HIcl,6561.483725203022,12 27 46.3,+01 35 59
NGC4440,6578.322815251845,12 27 53.6,+12 17 36
UGC07580,6584.992363002299,12 27 54.8,+08 05 26
UGC07579,6551.707485753602,12 27 55.4,+05 43 16
PGC040946,6581.626157862253,12 28 00.4,+11 56 59
PGC040948,6587.413209473237,12 28 02.0,+15 26 40
UGC07584,6593.451056644875,12 28 02.8,+22 35 16
PGC040951,6555.22056417494,12 28 03.7,+02 54 36
NGC4442,6587.182932678352,12 28 03.9,+09 48 13
PGC200170,6602.622180874998,12 28 04.9,+13 36 43
PGC040957,6594.901300421339,12 28 05.0,+13 34 41
KKH80,6617.1409295002395,12 28 05.0,+22 17 27
PGC3089432,6613.109741139141,12 28 05.5,+26 40 22
PGC040958,6587.040900549993,12 28 06.5,+12 53 53
IC0794,6567.60655033985,12 28 08.6,+12 05 36
VLSB-B,6578.365879032267,12 28 10.6,+12 43 28
PGC040974,6578.144195023241,12 28 11.3,+09 45 37
PGC040972,6594.522521704079,12 28 12.0,+10 21 54
IC3383,6581.046197793578,12 28 12.3,+10 17 52
IC3384,6574.605786699339,12 28 12.8,+25 05 22
PGC040969,6574.1697480725725,12 28 12.8,+10 31 34
IC3381,6578.070020422464,12 28 14.9,+11 47 23
NGC4445,6583.749971899015,12 28 15.9,+09 26 11
PGC139866,6579.157190865964,12 28 15.9,+02 42 03
PGC1207185,6569.849749719049,12 28 16.0,+01 49 44
PGC040995,6585.968759713926,12 28 18.7,+11 42 01
UGC07590,6595.625669768306,12 28 18.8,+08 43 46
PGC041000,6578.485296764565,12 28 20.7,+08 00 42
PGC041007,6592.853128283623,12 28 23.7,+13 11 45
PGC041006,6592.629773875834,12 28 24.0,+11 25 14
SDSSJ122825.86+111424.9,6589.991350318407,12 28 25.9,+11 14 25
PGC041016,6580.703153439909,12 28 27.2,+06 56 45
IC3391,6596.888727366328,12 28 27.3,+18 24 54
IC3388,6578.630267242266,12 28 28.1,+12 49 25
NGC4450,6612.994852755361,12 28 29.5,+17 05 06
PGC041027,6580.178788268625,12 28 30.5,+07 19 29
UGC07596,6591.997538790681,12 28 33.9,+08 38 23
NGC4451,6590.801441973644,12 28 40.5,+09 15 32
PGC041056,6589.143879317469,12 28 41.5,+07 48 15
IC3393,6587.89284062534,12 28 41.7,+12 54 57
PGC041059,6575.553756820365,12 28 42.6,+12 32 59
IC3392,6568.561542254053,12 28 43.3,+14 59 58
NGC4452,6568.928234409085,12 28 43.3,+11 45 18
NGC4455,6614.77182861597,12 28 44.1,+22 49 16
PGC041068,6603.33071179058,12 28 44.9,+12 48 35
NGC4454,6556.870556329035,12 28 50.7,-01 56 21
PGC041084,6564.734775728211,12 28 50.8,-02 03 39
PGC041090,6599.028502579614,12 28 54.9,+09 25 16
PGC041091,6576.635066426043,12 28 55.4,+08 49 01
NGC4458,6590.829279880391,12 28 57.6,+13 14 31
PGC3294335,6582.289154035333,12 28 57.9,-01 36 10
PGC041098,6584.97790439712,12 28 58.1,+12 39 42
NGC4457,6578.316840380076,12 28 59.0,+03 34 14
PGC041102,6606.293988323282,12 28 59.8,+12 38 54
NGC4459,6601.564016413906,12 29 00.0,+13 58 43
DDO128,6577.9396787277965,12 29 02.2,+02 43 22
NGC4461,6605.339113775744,12 29 03.0,+13 11 02
PGC083543,6584.610790726525,12 29 03.9,+00 06 13
PGC041120,6591.576724565992,12 29 06.4,+14 00 18
PGC041124,6566.052125144975,12 29 08.2,+09 26 38
PGC041140,6549.913269808415,12 29 14.0,-01 21 22
PGC1120391,6573.029056255798,12 29 14.6,-01 21 55
PGC041130,6593.344621186392,12 29 14.6,+07 52 39
PGC041136,6610.77901721197,12 29 14.9,+12 58 41
PGC041137,6573.736624826006,12 29 15.3,+08 48 52
PGC041144,6588.808994299811,12 29 18.2,+10 08 09
KDG141,6570.622681590104,12 29 21.2,+16 48 23
NGC4464,6582.680006895481,12 29 21.3,+08 09 24
IC3413,6581.196338055228,12 29 22.5,+11 26 02
IC3412,6587.855820641546,12 29 22.6,+09 59 19
PGC041156,6585.553817223637,12 29 23.5,+12 27 03
IC0796,6584.962932221015,12 29 26.3,+16 24 17
SDSSJ122927.63+055825.0,6580.659296634021,12 29 27.6,+05 58 25
NGC4469,6598.475575613822,12 29 28.0,+08 45 00
SDSSJ122928.18+203348.8,6606.973988951208,12 29 28.2,+20 33 49
PGC041167,6578.128762657877,12 29 28.7,+12 29 46
IC3414,6565.244869725384,12 29 28.8,+06 46 17
NGC4467,6606.080009751673,12 29 30.3,+07 59 34
NGC4466,6574.715078415851,12 29 30.6,+07 41 47
NGC4468,6569.554576774914,12 29 30.9,+14 02 57
PGC041174,6591.185944431576,12 29 32.0,+13 30 38
UGC07625,6574.108052715305,12 29 32.7,+00 50 22
SDSSJ122933.64+131145.6,6595.624478725166,12 29 33.6,+13 11 46
SDSSJ122934.46+075851.5,6563.671926295689,12 29 34.5,+07 58 52
PGC041180,6565.619065306605,12 29 35.0,+08 03 29
IC3416,6577.410024535153,12 29 35.1,+10 47 36
PGC041182,6585.928882417398,12 29 35.6,+13 12 40
PGC041185,6565.51394911423,12 29 37.1,+07 55 58
NGC4470,6576.027482680759,12 29 37.8,+07 49 27
PGC041191,6572.133107496409,12 29 37.9,+07 06 24
PGC041192,6576.893192358326,12 29 38.5,+11 17 56
PGC041196,6575.4024476585255,12 29 39.1,+03 36 46
PGC041195,6589.954352517026,12 29 39.2,+12 32 54
PGC041193,6596.872442680098,12 29 40.6,+10 23 06
PGC041206,6598.52064865256,12 29 43.4,+17 30 56
PGC041209,6577.862068094147,12 29 44.1,+12 48 20
PGC041211,6589.061137313286,12 29 44.6,+15 01 29
PGC041214,6589.854941211212,12 29 45.0,+17 17 15
PGC041216,6574.0734518546005,12 29 45.2,+05 55 13
PGC135806,6592.109175685663,12 29 46.2,-01 17 42
NGC4472,6561.080432826843,12 29 46.7,+07 59 59
PGC041223,6564.021241711418,12 29 47.3,+06 57 55
NGC4473,6569.8061872866765,12 29 48.9,+13 25 46
PGC1213772,6569.403450022708,12 29 50.6,+02 01 54
PGC041237,6603.065066509102,12 29 51.2,+13 52 04
NGC4474,6593.854090831462,12 29 53.6,+14 04 07
PGC041240,6577.345703035647,12 29 53.9,+10 20 17
PGC041243,6576.559090673709,12 29 54.7,+07 08 18
PGC041245,6573.8442006069345,12 29 56.3,+13 13 12
PGC083546,6538.075706013308,12 29 58.8,+00 01 38
NGC4476,6577.74429319433,12 29 59.1,+12 20 55
PGC1346685,6582.724861282217,12 29 59.5,+08 25 55
UGC07636,6583.378285823206,12 30 00.6,+07 55 46
PGC041259,6561.537675886017,12 30 02.0,+09 28 26
PGC1143998,6576.400175790341,12 30 02.1,-00 24 38
NGC4477,6583.975455563729,12 30 02.2,+13 38 11
PGC1364593,6569.708850896371,12 30 02.6,+09 24 12
PGC041264,6583.9841863210795,12 30 05.1,+08 04 25
PGC041263,6588.388195844913,12 30 05.1,+17 23 52
NGC4482,6573.769942640673,12 30 10.3,+10 46 46
PGC041273,6597.43834738397,12 30 10.9,+12 11 44
UGC07642,6583.34368461439,12 30 13.8,+02 37 30
PGC041284,6586.725094543227,12 30 16.1,+10 31 59
IC3430,6588.568240121586,12 30 16.8,+09 05 07
NGC4478,6603.649793100857,12 30 17.4,+12 19 43
NGC4479,6597.57351562268,12 30 18.4,+13 34 39
PGC041308,6594.386165031703,12 30 20.4,+14 08 25
PGC3294304,6591.698765011857,12 30 21.5,-01 38 17
VCC1287,6594.221526365196,12 30 24.5,+13 58 49
NGC4480,6574.131988426797,12 30 26.8,+04 14 47
IC3436,6596.68727834631,12 30 29.9,+19 40 23
NGC4486B,6592.944790157901,12 30 32.0,+12 29 25
PGC041325,6573.713169004343,12 30 32.4,+10 15 40
AGC229379,6564.691119027842,12 30 34.0,+23 12 20
PGC041336,6579.118724312246,12 30 38.6,+15 36 29
IC3435,6566.516306088004,12 30 39.9,+15 07 47
NGC4483,6584.57007054018,12 30 40.6,+09 00 56
PGC1290662,6584.409536410184,12 30 42.0,+05 52 44
PGC041345,6591.522015622553,12 30 44.6,+13 47 58
SDSSJ123044.76+054919.5,6572.269682049535,12 30 44.8,+05 49 19
IC3437,6564.324898002964,12 30 45.9,+11 20 36
PGC169451,6572.702191255235,12 30 46.4,+12 05 57
PGC041356,6601.253408633115,12 30 47.3,+07 36 19
PGC1180748,6558.491405669762,12 30 47.8,+00 58 33
PGC041360,6570.076972345732,12 30 48.6,+12 02 43
PGC041358,6576.171367002122,12 30 49.0,+13 13 26
NGC4486,6598.315217944929,12 30 49.5,+12 23 26
NGC4488,6571.619204161404,12 30 51.4,+08 21 36
NGC4489,6589.282821164849,12 30 52.2,+16 45 32
PGC1180413,6576.072889947554,12 30 54.3,+00 57 51
PGC041370,6599.727580088909,12 30 55.7,+14 46 26
AGC724906,6600.571866920763,12 30 56.0,+26 30 40
NGC4491,6580.770555822711,12 30 57.1,+11 29 00
NGC4486A,6564.085256942289,12 30 57.7,+12 16 14
NGC4492,6581.185903758618,12 30 59.7,+08 04 40
PGC041387,6581.358765766922,12 31 00.3,+15 43 51
PGC041391,6571.785531479426,12 31 01.1,+07 43 24
SDSSJ123102.35+180012.4,6588.005480718845,12 31 02.3,+18 00 12
PGC041395,6557.43926254565,12 31 03.7,+01 40 33
SDSSJ123109.18+181311.8,6603.558411693599,12 31 09.2,+18 13 12
PGC041411,6577.8994205826375,12 31 10.4,+13 05 51
IC3443,6566.803846606778,12 31 15.7,+12 19 54
PGC135807,6573.969614317884,12 31 16.7,+00 59 38
PGC041428,6578.560246073934,12 31 17.1,+13 49 41
PGC041432,6596.083703420202,12 31 19.4,+12 44 17
PGC041433,6582.281377079971,12 31 19.6,+12 36 41
IC3442,6582.523638668965,12 31 20.2,+14 06 55
PGC3294282,6589.613492007663,12 31 20.3,-01 41 45
IC3446,6581.910868688708,12 31 23.0,+11 29 33
IC3448,6589.467060024935,12 31 23.1,+17 12 23
